Typical Measured Spectrum of Semrock FF01-586/20 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6,5) are measurement noise limited,
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5,5) are measurement noise limited, 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
432,0	1,9021e-08
432,2	1,6857e-08
432,4	1,4939e-08
432,6	1,3239e-08
432,8	1,1732e-08
433,0	1,2065e-08
433,2	1,4399e-08
433,4	1,7184e-08
433,6	2,0507e-08
433,8	2,4474e-08
434,0	2,9207e-08
434,2	3,4856e-08
434,4	4,1597e-08
434,6	4,9642e-08
434,8	5,9243e-08
435,0	3,8582e-09
435,2	4,8503e-09
435,4	6,0974e-09
435,6	7,6652e-09
435,8	9,6361e-09
436,0	1,2114e-08
436,2	1,5228e-08
436,4	1,9144e-08
436,6	2,4066e-08
436,8	3,0254e-08
437,0	3,8034e-08
437,2	3,0298e-08
437,4	2,3856e-08
437,6	1,8783e-08
437,8	1,4789e-08
438,0	1,1644e-08
438,2	9,168e-09
438,4	7,2184e-09
438,6	5,6835e-09
438,8	4,4749e-09
439,0	3,5233e-09
439,2	3,3974e-09
439,4	3,3905e-09
439,6	3,3836e-09
439,8	3,3767e-09
440,0	3,3699e-09
440,2	3,363e-09
440,4	3,3562e-09
440,6	3,3494e-09
440,8	3,3426e-09
441,0	3,3358e-09
441,2	3,3286e-09
441,4	3,3212e-09
441,6	3,3138e-09
441,8	3,3065e-09
442,0	3,2991e-09
442,2	3,2918e-09
442,4	3,2845e-09
442,6	3,2772e-09
442,8	3,2699e-09
443,0	3,2627e-09
443,2	3,4038e-09
443,4	3,6431e-09
443,6	3,8992e-09
443,8	4,1733e-09
444,0	4,4667e-09
444,2	4,7808e-09
444,4	5,1169e-09
444,6	5,4767e-09
444,8	5,8617e-09
445,0	6,2738e-09
445,2	8,1368e-09
445,4	1,0553e-08
445,6	1,3686e-08
445,8	1,775e-08
446,0	2,3021e-08
446,2	2,9857e-08
446,4	3,8722e-08
446,6	5,022e-08
446,8	6,5133e-08
447,0	8,4473e-08
447,2	7,3054e-08
447,4	6,2122e-08
447,6	5,2825e-08
447,8	4,4919e-08
448,0	3,8197e-08
448,2	3,2481e-08
448,4	2,762e-08
448,6	2,3486e-08
448,8	1,9972e-08
449,0	1,6983e-08
449,2	1,5598e-08
449,4	1,4521e-08
449,6	1,352e-08
449,8	1,2587e-08
450,0	1,1718e-08
450,2	1,091e-08
450,4	1,0157e-08
450,6	9,4563e-09
450,8	8,8038e-09
451,0	8,1964e-09
451,2	8,031e-09
451,4	8,0078e-09
451,6	7,9847e-09
451,8	7,9617e-09
452,0	7,9387e-09
452,2	7,9159e-09
452,4	7,893e-09
452,6	7,8702e-09
452,8	7,8475e-09
453,0	7,8249e-09
453,2	8,0024e-09
453,4	8,3013e-09
453,6	8,6113e-09
453,8	8,933e-09
454,0	9,2666e-09
454,2	9,6127e-09
454,4	9,9717e-09
454,6	1,0344e-08
454,8	1,0731e-08
455,0	1,1131e-08
455,2	1,3188e-08
455,4	1,5624e-08
